SpecID	Species	Wings	Green	Brown	Combined	Polymorphic	Pied	SexualDimorphism	AgeDependence	OtherVariants	RemarksMorphs	SourceMorphs
S00540	Petaloptila (Petaloptila) pallescens	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00550	Petaloptila (Petaloptila) pyrenaea	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00560	Petaloptila (Petaloptila) sbordonii	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00570	Petaloptila (Zapetaloptila) baenai 	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00580	Petaloptila (Zapetaloptila) barrancoi 	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	multiple google search images
S00590	Petaloptila (Zapetaloptila) bolivari	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00600	Petaloptila (Zapetaloptila) carabajali	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00610	Petaloptila (Zapetaloptila) llorenteae	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00620	Petaloptila (Zapetaloptila) malacitana	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	few images on google search
S00630	Petaloptila (Zapetaloptila) mogon	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00640	Petaloptila (Zapetaloptila) venosa	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	few images on google search
S00650	Oecanthus dulcisonans	long	absent	mono	absent-mono	brown	absent	absent	absent	.	there are green Oecanthus in North America	.
S00660	Oecanthus pellucens	long	rare	dominant	rare-dominant	polymorphic	absent	absent	absent	.	.	image of greeen in Field Guide Italy
S00670	Oecanthus turanicus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"a few images on google search, e.g. http://insecta.pro/taxonomy/508799"
S00680	Arachnocephalus vestitus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00690	Pseudomogoplistes byzantius	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00700	Pseudomogoplistes squamiger	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00710	Pseudomogoplistes vicentae	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00720	Mogoplistes brunneus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00730	Mogoplistes kinzelbachi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00740	Paramogoplistes dentatus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	multiple google search images
S00750	Paramogoplistes novaki	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00760	Paramogoplistes ortini	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	a few individuals on google search
S00770	Nemobius interstitialis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	only three images	"two individuals on google search, one on OSF"
S00780	Nemobius sylvestris	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00790	Pteronemobius (Pteronemobius) heydenii	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00800	Pteronemobius (Stilbonemobius) lineolatus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00810	Stenonemobius (Ocellonemobius) bicolor	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	a few individuals on google search
S00820	Stenonemobius (Stenonemobius) gracilis	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00830	Natula averni	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00840	Trigonidium (Trigonidium) cicindeloides	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00850	Gryllotalpa africana	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00860	Gryllotalpa cossyrensis	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	one individual on https://www.naturamediterraneo.com/forum/topic.asp?TOPIC_ID=33545
S00870	Gryllotalpa gryllotalpa	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00880	Gryllotalpa krimbasi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00890	Gryllotalpa octodecim	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	one individual on https://www.iucnredlist.org/species/47695668/47695835
S00900	Gryllotalpa quindecim	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00910	Gryllotalpa sedecim	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00920	Gryllotalpa septemdecimchromosomica	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00930	Gryllotalpa stepposa	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00940	Gryllotalpa unispina	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00950	Gryllotalpa viginti	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00960	Gryllotalpa vigintiunum	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00970	Gryllotalpa vineae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00980	Myrmecophilus (Myrmecophilus) acervorum	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00990	Myrmecophilus (Myrmecophilus) aequispina	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01000	Myrmecophilus (Myrmecophilus) balcanicus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01010	Myrmecophilus (Myrmecophilus) baronii	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
