SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S02490	Uromenus annae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02500	Uromenus bonneti	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S02510	Uromenus brevicollis	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S02520	Uromenus dyrrhachiacus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S02530	Uromenus elegans	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S02540	Uromenus maroccanus	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S02550	Uromenus riggioi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02560	Uromenus rugosicollis	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S02570	Uromenus siculus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02580	Conocephalus grebenchikovi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S02590	Conocephalus (Anisoptera) concolor	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S02600	Conocephalus (Anisoptera) dorsalis	x	-	-	x	x	-	x	x	x	-	x	x	x	x	10	.
S02610	Conocephalus (Anisoptera) ebneri	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S02620	Conocephalus (Anisoptera) fuscus	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S02630	Conocephalus (Anisoptera) hastatus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S02640	Conocephalus (Anisoptera) kisi	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S02650	Conocephalus (Conocephalus) conocephalus	-	-	-	x	-	-	x	x	x	x	-	-	-	x	6	.
S02660	Ruspolia differens	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S02670	Ruspolia nitidula	-	-	-	x	x	-	x	x	x	x	x	-	x	x	9	.
S02680	Canariola emarginata 	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02690	Canariola quinonesi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02700	Cyrtaspis scutata	-	-	-	x	-	-	x	x	x	-	-	-	-	x	5	.
S02710	Cyrtaspis tuberculata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02720	Meconema meridionale	-	-	-	x	x	-	-	x	x	-	-	-	-	-	4	.
S02730	Meconema thalassinum	x	x	-	x	x	x	x	x	x	x	x	-	x	x	12	.
S02740	Acrometopa cretensis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S02750	Acrometopa italica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02760	Acrometopa macropoda	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S02770	Acrometopa servillea	-	-	-	-	-	-	-	x	x	x	-	-	-	x	4	.
S02780	Acrometopa syriaca	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S02790	Ancistrura nigrovittata	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S02800	Andreiniimon nuptialis	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S02810	Barbitistes alpinus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02820	Barbitistes constrictus	-	-	x	-	x	x	-	-	x	-	x	-	-	-	5	.
S02830	Barbitistes fischeri	-	-	-	x	-	-	x	x	-	-	-	-	-	-	3	.
S02840	Barbitistes kaltenbachi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S02850	Barbitistes obtusus	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S02860	Barbitistes ocskayi	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S02870	Barbitistes serricauda	-	-	-	x	x	-	x	x	x	-	x	-	-	-	6	.
S02880	Barbitistes vicetinus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02890	Barbitistes yersini	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S02900	Euconocercus caucasicus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S02910	Isoimon riabovi 	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S02920	Isophya amplipennis	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S02930	Isophya andreevae	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S02940	Isophya beibienko	-	-	-	-	x	-	-	-	-	-	-	-	-	-	1	.
S02950	Isophya boldyrevi	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S02960	Isophya brevicauda	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S02970	Isophya brunneri	-	-	-	-	-	x	-	-	-	-	x	-	-	-	2	.
S02980	Isophya bucovinensis	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S02990	Isophya bureschi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03000	Isophya camptoxypha	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S03010	Isophya ciucasi	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S03020	Isophya clara	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03030	Isophya costata	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S03040	Isophya dobrogensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03050	Isophya dochia	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S03060	Isophya doneciana	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S03070	Isophya fatrensis	-	-	-	-	-	x	-	-	-	-	-	-	-	-	1	.
S03080	Isophya gulae	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03090	Isophya harzi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03100	Isophya hospodar	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03110	Isophya kalishevskii	-	-	-	-	-	-	-	-	-	-	x	-	x	x	3	.
S03120	Isophya kraussii	-	-	-	-	x	-	-	-	x	-	(x)	-	-	-	2	.
S03130	Isophya lemnotica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03140	Isophya longicaudata	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03150	Isophya miksici	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03160	Isophya modesta	-	-	-	-	x	x	-	-	x	-	x	-	-	-	4	.
S03170	Isophya modestior	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S03180	Isophya obtusa	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03190	Isophya pavelii	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03200	Isophya pienensis	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S03210	Isophya plevnensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03220	Isophya posthumoidalis	-	-	-	-	x	-	-	-	-	-	-	-	-	-	1	.
S03230	Isophya pylnovi	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S03240	Isophya pyrenaea	-	-	-	x	(x)	-	x	-	(x)	-	(x)	-	-	-	2	.
S03250	Isophya rectipennis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03260	Isophya rhodopensis	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03270	Isophya schneideri	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S03280	Isophya sicula	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03290	Isophya speciosa	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03300	Isophya stepposa	-	-	-	-	-	x	-	-	-	-	x	-	-	-	2	.
S03310	Isophya straubei	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03320	Isophya stysi	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S03330	Isophya taurica	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S03340	Isophya thracica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03350	Isophya tosevski	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03360	Isophya zubowskii	-	-	-	-	x	-	-	-	(x)	-	x	-	-	-	2	.
S03370	Leptophyes albovittata	-	-	-	x	x	x	-	x	x	x	x	x	x	x	10	.
S03380	Leptophyes asamo	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03390	Leptophyes boscii	-	-	-	x	x	-	-	x	x	x	-	-	-	-	5	.
S03400	Leptophyes calabra	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S03410	Leptophyes discoidalis	-	-	-	-	x	-	-	x	x	-	-	-	-	-	3	.
S03420	Leptophyes intermedia	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03430	Leptophyes laticauda	-	-	-	x	-	-	-	x	x	-	-	-	-	-	3	.
S03440	Leptophyes lisae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03450	Leptophyes punctatissima	x	x	-	x	x	-	x	x	x	x	-	-	-	-	8	.
S03460	Leptophyes sicula	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S03470	Metaplastes ippolitoi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S03480	Metaplastes oertzemi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03490	Metaplastes ornatus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03500	Metaplastes pulchripennis	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S03510	Poecilimon (Hamatopoecilimon) deplanatus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03520	Poecilimon (Hamatopoecilimon) hamatus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03530	Poecilimon (Hamatopoecilimon) ikariensis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03540	Poecilimon (Hamatopoecilimon) klausgerhardi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03550	Poecilimon (Hamatopoecilimon) paros	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03560	Poecilimon (Hamatopoecilimon) unispinosus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03570	Poecilimon (Poecilimon) aegaeus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03580	Poecilimon (Poecilimon) affinis	-	-	-	-	-	-	-	-	x	x	x	-	-	-	3	.
S03590	Poecilimon (Poecilimon) albolineatus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03600	Poecilimon (Poecilimon) amissus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03610	Poecilimon (Poecilimon) ampliatus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03620	Poecilimon (Poecilimon) artedentatus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03630	Poecilimon (Poecilimon) athos	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03640	Poecilimon (Poecilimon) bidens	-	-	-	-	-	-	-	-	x	-	x	-	-	x	3	.
S03650	Poecilimon (Poecilimon) bifenestratus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S03660	Poecilimon (Poecilimon) bosphoricus	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S03670	Poecilimon (Poecilimon) brunneri	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03680	Poecilimon (Poecilimon) chopardi	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03690	Poecilimon (Poecilimon) cretensis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03700	Poecilimon (Poecilimon) djakonovi	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S03710	Poecilimon (Poecilimon) ebneri	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03720	Poecilimon (Poecilimon) ege	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03730	Poecilimon (Poecilimon) elegans	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03740	Poecilimon (Poecilimon) erimanthos	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03750	Poecilimon (Poecilimon) fussii	-	-	-	-	x	-	-	-	x	-	x	-	-	-	3	.
S03760	Poecilimon (Poecilimon) geoktschajcus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S03770	Poecilimon (Poecilimon) gerlindae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03780	Poecilimon (Poecilimon) gracilioides	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03790	Poecilimon (Poecilimon) gracilis	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03800	Poecilimon (Poecilimon) heinrichi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03810	Poecilimon (Poecilimon) heroicus	-	-	-	-	-	x	-	-	-	-	x	-	x	-	3	.
S03820	Poecilimon (Poecilimon) hoelzeli	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03830	Poecilimon (Poecilimon) intermedius	-	-	-	-	x	x	-	-	x	-	x	x	-	x	6	.
S03840	Poecilimon (Poecilimon) istanbul 	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03850	Poecilimon (Poecilimon) jablanicensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03860	Poecilimon (Poecilimon) jonicus	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S03870	Poecilimon (Poecilimon) laevissimus	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S03880	Poecilimon (Poecilimon) macedonicus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03890	Poecilimon (Poecilimon) mariannae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03900	Poecilimon (Poecilimon) marmaraensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03910	Poecilimon (Poecilimon) miramae	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S03920	Poecilimon (Poecilimon) mytilenensis	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03930	Poecilimon (Poecilimon) nobilis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03940	Poecilimon (Poecilimon) nonveilleri	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S03950	Poecilimon (Poecilimon) obesus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S03960	Poecilimon (Poecilimon) oligacanthus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S03970	Poecilimon (Poecilimon) orbelicus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S03980	Poecilimon (Poecilimon) ornatus	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S03990	Poecilimon (Poecilimon) pechevi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S04000	Poecilimon (Poecilimon) pergamicus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04010	Poecilimon (Poecilimon) pindos	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04020	Poecilimon (Poecilimon) pliginskii	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S04030	Poecilimon (Poecilimon) propinquus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04040	Poecilimon (Poecilimon) pseudornatus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S04050	Poecilimon (Poecilimon) roseoviridis	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S04060	Poecilimon (Poecilimon) sanctipauli	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04070	Poecilimon (Poecilimon) schmidtii	-	-	-	-	x	-	-	-	x	x	x	-	x	x	6	.
S04080	Poecilimon (Poecilimon) scythicus	-	-	-	-	-	x	-	-	-	-	x	x	x	x	5	.
S04090	Poecilimon (Poecilimon) similis	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S04100	Poecilimon (Poecilimon) soulion	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04110	Poecilimon (Poecilimon) sureyanus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04120	Poecilimon (Poecilimon) syriacus	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S04130	Poecilimon (Poecilimon) tauricus	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S04140	Poecilimon (Poecilimon) thessalicus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04150	Poecilimon (Poecilimon) thoracicus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04160	Poecilimon (Poecilimon) tricuspis	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S04170	Poecilimon (Poecilimon) turcicus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04180	Poecilimon (Poecilimon) ukrainicus 	-	-	-	-	-	-	-	-	x	-	x	-	-	-	2	.
S04190	Poecilimon (Poecilimon) veluchianus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04200	Poecilimon (Poecilimon) vodnensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S04210	Poecilimon (Poecilimon) werneri	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04220	Poecilimon (Poecilimon) zimmeri	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04230	Poecilimon (Poecilimon) zwicki	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04240	Polysarcus denticauda	-	-	-	x	x	-	x	x	x	x	-	-	-	x	7	.
S04250	Polysarcus scutatus	-	-	-	x	-	-	x	x	-	x	-	-	-	-	4	.
S04260	Polysarcus zacharovi	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S04270	Odontura aspericauda	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04280	Odontura (Odontura) borrei 	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04290	Odontura (Odontura) calaritana	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04300	Odontura (Odontura) glabricauda	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S04310	Odontura (Odontura) stenoxypha	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S04320	Odontura (Odonturella) macphersoni	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04330	Phaneroptera falcata	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S04340	Phaneroptera gracilis	-	-	-	-	-	-	-	-	x	-	-	x	-	x	3	.
S04350	Phaneroptera nana	-	-	-	x	x	-	x	x	x	x	x	-	x	x	9	.
S04360	Phaneroptera sparsa	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S04370	Tylopsis lilifolia	-	-	-	x	-	-	x	x	x	x	x	-	x	x	8	.
S04380	Saga campbelli	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04390	Saga hellenica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04400	Saga natoliae	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04410	Saga pedo	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S04420	Saga rammei	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04430	Saga rhodiensis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04440	Ctenodecticus bolivari	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S04450	Ctenodecticus granatensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04460	Ctenodecticus lusitanicus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04470	Ctenodecticus major	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04480	Ctenodecticus masferreri	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04490	Ctenodecticus pupulus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04500	Ctenodecticus ramburi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04510	Ctenodecticus siculus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04520	Ctenodecticus thymi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S04530	Miramiola pusilla	-	-	-	-	-	-	-	-	-	-	x	x	-	x	3	.
S04540	Decticus albifrons	-	-	-	x	-	-	x	x	x	x	x	x	x	x	9	.
S04550	Decticus aprutianus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04560	Decticus loudoni	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04570	Decticus verrucivorus	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S04580	Anadrymadusa (Anadrymadusa) brevipennis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04590	Anadrymadusa (Anadrymadusa) ornatipennis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04600	Anadrymadusa (Anadrymadusa) retowskii	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S04610	Anadrymadusa (Orodusa) beckeri	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S04620	Anadrymadusa (Orodusa) robusta	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S04630	Ceraeocercus fuscipennis	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S04640	Drymadusa dorsalis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04650	Lithodusa daghestanica	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S04660	Paradrymadusa galitzini	-	-	-	-	-	-	-	-	-	-	x	-	x	-	2	.
S04670	Paradrymadusa picta	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S04680	Paradrymadusa sordida	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S04690	Gampsocleis abbreviata	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04700	Gampsocleis glabra	-	-	-	x	x	x	x	-	x	-	x	x	x	x	9	.
S04710	Gampsocleis schelkovnikovae	-	-	-	-	-	-	-	-	x	-	-	x	x	x	4	.
S04720	Gampsocleis sedakovii	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S04730	Onconotus laxmanni	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S04740	Onconotus servillei	-	-	-	-	-	-	-	-	x	-	x	x	x	x	5	.
S04750	Eupholidoptera annamariae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04760	Eupholidoptera astyla	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04770	Eupholidoptera bimucronata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04780	Eupholidoptera cephalonica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04790	Eupholidoptera chabrieri	-	-	-	x	-	-	-	x	x	-	-	-	-	-	3	.
S04800	Eupholidoptera cretica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04810	Eupholidoptera danconai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04820	Eupholidoptera epirotica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04830	Eupholidoptera feri	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04840	Eupholidoptera forcipata	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04850	Eupholidoptera garganica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S04860	Eupholidoptera gemellata	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04870	Eupholidoptera giuliae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04880	Eupholidoptera hesperica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04890	Eupholidoptera icariensis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04900	Eupholidoptera jacquelinae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04910	Eupholidoptera kykladica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04920	Eupholidoptera latens	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04930	Eupholidoptera leucasi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04940	Eupholidoptera magnifica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S04950	Eupholidoptera mariannae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04960	Eupholidoptera megastyla	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04970	Eupholidoptera pallipes	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S04980	Eupholidoptera parsina	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S04990	Eupholidoptera schmidti	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S05000	Eupholidoptera smyrnensis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S05010	Eupholidoptera spinigera	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05020	Eupholidoptera tyrrhenica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05030	Eupholidoptera uvarovi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05040	Parapholidoptera castaneoviridis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S05050	Parapholidoptera noxia	-	-	-	-	-	-	-	-	-	-	x	-	x	x	3	.
S05060	Parapholidoptera signata	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S05070	Pholidoptera aptera	-	-	-	x	x	x	-	x	x	x	-	-	-	-	6	.
S05080	Pholidoptera brevipes	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S05090	Pholidoptera dalmatica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05100	Pholidoptera ebneri	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05110	Pholidoptera fallax	-	-	-	x	x	-	-	x	x	x	-	-	-	x	6	.
S05120	Pholidoptera femorata	-	-	-	x	-	-	-	x	x	x	-	-	-	x	5	.
S05130	Pholidoptera frivaldszkyi	-	-	-	-	x	-	-	-	x	x	x	-	-	-	4	.
S05140	Pholidoptera griseoaptera	x	x	x	x	x	x	x	x	x	x	x	-	x	x	13	.
S05150	Pholidoptera littoralis	-	-	-	-	x	-	-	x	x	-	-	-	-	-	3	.
S05160	Pholidoptera lucasi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05170	Pholidoptera macedonica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S05180	Pholidoptera pustulipes	-	-	-	-	-	-	-	-	-	-	x	-	x	-	2	.
S05190	Pholidoptera rhodopensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05200	Pholidoptera stankoi	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S05210	Pholidoptera transsylvanica	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S05220	Amedegnatiana vicheti	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S05230	Anonconotus alpinus	-	-	-	x	x	-	-	x	-	-	-	-	-	-	3	.
S05240	Anonconotus apenninigenus	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
