SpecID	Species	H01_Marshes_and_reeds	H02_Moist_grassland	H03_Mesic_grassland	H04_Dry_grassland	H05_Herbal_grasslands	H06_Rural_areas	H07_Open_ground	H08_Shrubs_and_heath	H09_Dry_bushland	H10_Mesic_bushland	H11_Forest_margins	H12_Woodlands	H13_Subalpine_shrubs	H14_Subalpine_grassland	H15_Alpine_rocks	H16_Ponds_and_streams	H17_Dunes_and_beaches	H18_Lowland_rocky_habitats	H19_Rocks_and_walls	H20_Domestic_habitats	H21_Caves	H22_Ants	U01_Bushes_and_trees	U02_Dense_vegetation	U03_Ground_and_vegetation	U04_Ground_dwelling	U05_Subterranean	U06_Diurnal	U07_Diurnal_and_nocturnal	U08_Nocturnal	U09_Spring	U10_Summer	U11_Winter	RemarksHabitat
S00550	Petaloptila (Petaloptila) pyrenaea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S00560	Petaloptila (Petaloptila) sbordonii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00570	Petaloptila (Zapetaloptila) baenai 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00580	Petaloptila (Zapetaloptila) barrancoi 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00590	Petaloptila (Zapetaloptila) bolivari	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00600	Petaloptila (Zapetaloptila) carabajali	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00610	Petaloptila (Zapetaloptila) llorenteae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00620	Petaloptila (Zapetaloptila) malacitana	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00630	Petaloptila (Zapetaloptila) mogon	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00640	Petaloptila (Zapetaloptila) venosa	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00650	Oecanthus dulcisonans	-	-	-	x	x	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	x	x	x	-	.
S00660	Oecanthus pellucens	-	-	-	x	x	x	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	x	x	x	-	.
S00670	Oecanthus turanicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00680	Arachnocephalus vestitus	-	-	-	-	x	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S00690	Pseudomogoplistes byzantius	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	x	x	-	x	-	-	x	-	.
S00700	Pseudomogoplistes squamiger	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	x	x	-	x	-	-	x	-	.
S00710	Pseudomogoplistes vicentae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	x	x	-	x	-	-	x	-	.
S00720	Mogoplistes brunneus	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	x	-	.
S00730	Mogoplistes kinzelbachi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	-	x	-	.
S00740	Paramogoplistes dentatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00750	Paramogoplistes novaki	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	x	x	-	.
S00760	Paramogoplistes ortini	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00770	Nemobius interstitialis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00780	Nemobius sylvestris	-	-	-	-	-	-	-	-	x	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	x	-	-	x	-	.
S00790	Pteronemobius (Pteronemobius) heydenii	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	x	-	x	x	-	.
S00800	Pteronemobius (Stilbonemobius) lineolatus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	-	x	-	x	-	.
S00810	Stenonemobius (Ocellonemobius) bicolor	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00820	Stenonemobius (Stenonemobius) gracilis	x	-	-	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	x	-	-	-	x	-	x	-	.
S00830	Natula averni	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	x	-	.
S00840	Trigonidium (Trigonidium) cicindeloides	x	x	-	-	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	x	-	.
S00850	Gryllotalpa africana	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00860	Gryllotalpa cossyrensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00870	Gryllotalpa gryllotalpa	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	-	-	.
S00880	Gryllotalpa krimbasi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00890	Gryllotalpa octodecim	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00900	Gryllotalpa quindecim	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00910	Gryllotalpa sedecim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	-	-	.
S00920	Gryllotalpa septemdecimchromosomica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00930	Gryllotalpa stepposa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00940	Gryllotalpa unispina	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00950	Gryllotalpa viginti	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00960	Gryllotalpa vigintiunum	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00970	Gryllotalpa vineae	-	-	-	x	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00980	Myrmecophilus (Myrmecophilus) acervorum	-	-	-	x	x	-	-	-	x	-	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	x	x	-	-	x	x	x	x	.
S00990	Myrmecophilus (Myrmecophilus) aequispina	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	x	-	-	x	x	x	x	.
S01000	Myrmecophilus (Myrmecophilus) balcanicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01010	Myrmecophilus (Myrmecophilus) baronii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01020	Myrmecophilus (Myrmecophilus) fuscus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	x	-	-	x	x	x	x	.
S01030	Myrmecophilus (Myrmecophilus) gallicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01040	Myrmecophilus (Myrmecophilus) hirticaudus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01050	Myrmecophilus (Myrmecophilus) myrmecophilus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	x	-	-	x	x	x	x	.
S01060	Myrmecophilus (Myrmecophilus) nonveilleri	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01070	Myrmecophilus (Myrmophilina) ochraceus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01080	Diestrammena asynamora	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	x	-	-	x	x	x	x	.
S01090	Dolichopoda (Capraiacris) aegilion	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01100	Dolichopoda (Capraiacris) baccettii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01110	Dolichopoda (Capraiacris) bolivari	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01120	Dolichopoda (Chopardina) bormansi	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	-	-	-	x	x	-	-	x	-	x	-	.
S01130	Dolichopoda (Chopardina) cyrnensis	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	-	-	-	x	x	-	-	x	-	x	-	.
S01140	Dolichopoda (Chopardina) lustriae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01150	Dolichopoda (Chopardina) muceddai	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01160	Dolichopoda (Chopardina) remyi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01170	Dolichopoda (Chopardina) schiavazzii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01180	Dolichopoda (Dolichopoda) annae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01190	Dolichopoda (Dolichopoda) araneiformis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01200	Dolichopoda (Dolichopoda) azami	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	-	-	-	x	x	-	-	x	-	x	-	.
S01210	Dolichopoda (Dolichopoda) bakolitsasi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01220	Dolichopoda (Dolichopoda) calidnae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01230	Dolichopoda (Dolichopoda) capreensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01240	Dolichopoda (Dolichopoda) chopardi	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	-	-	-	x	x	-	-	x	-	x	-	.
S01250	Dolichopoda (Dolichopoda) christosnifoni	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01260	Dolichopoda (Dolichopoda) dalensi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01270	Dolichopoda (Dolichopoda) euxina	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01280	Dolichopoda (Dolichopoda) gasparoi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01290	Dolichopoda (Dolichopoda) geniculata	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01300	Dolichopoda (Dolichopoda) giachinoi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01310	Dolichopoda (Dolichopoda) giulianae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01320	Dolichopoda (Dolichopoda) graeca	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01330	Dolichopoda (Dolichopoda) hussoni	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01340	Dolichopoda (Dolichopoda) ithakii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01350	Dolichopoda (Dolichopoda) kalithea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01360	Dolichopoda (Dolichopoda) kiriakii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01370	Dolichopoda (Dolichopoda) laetitiae	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01380	Dolichopoda (Dolichopoda) linderii	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	x	x	-	-	-	-	x	x	-	-	x	-	x	-	.
S01390	Dolichopoda (Dolichopoda) matsakisi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01400	Dolichopoda (Dolichopoda) naxia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01410	Dolichopoda (Dolichopoda) palpata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01420	Dolichopoda (Dolichopoda) paraskevi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01430	Dolichopoda (Dolichopoda) patrizii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
